User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
Accountant,ASIARYWOGL52Q5JXHGWV,2021-01-07T07:43:37Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],4da68586-dc4d-4b64-a488-9f6bc1bf6dc7,9119dd70-b996-40ef-a323-2e86178ec651,FALSE,AwsApiCall,1.21765E+11,Management
Accountant,,2021-01-07T07:43:21Z,signin.amazonaws.com,ConsoleLogin,us-east-1,42.111.2.205,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,04c6293c-f86e-4483-a28d-710bfb0c9ea8,FALSE,AwsConsoleSignIn,1.21765E+11,Management
Accountant,,2021-01-07T07:43:07Z,signin.amazonaws.com,ConsoleLogin,us-east-1,42.111.2.205,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,b1913f75-bc0b-449d-9da1-7c648b195c1c,FALSE,AwsConsoleSignIn,1.21765E+11,Management
CloudTrail,ASIARYWOGL52WS3XZVUA,2021-01-07T07:41:38Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],15c4f106-4f08-4134-9a5c-f8c06f699ab3,e36b4048-e0df-4f1c-bd63-0508f18b3f1f,FALSE,AwsApiCall,1.21765E+11,Management
root,ASIARYWOGL524MZLU2YF,2021-01-07T07:38:11Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,42.111.2.205,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",5b0398a9-6594-4793-8a73-4003114958f8,c589ce8a-cb5b-4eee-bf17-549698462ee5,FALSE,AwsApiCall,1.21765E+11,Management
root,ASIARYWOGL524MZLU2YF,2021-01-07T07:38:10Z,iam.amazonaws.com,CreateGroup,us-east-1,42.111.2.205,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPARYWOGL52WADM3VZTE""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::121765257077:group/Reviewers""}]",15460848-a844-49e3-8e38-b9444acd712a,3d8ae03a-b3c8-4846-920a-ac3d363da671,FALSE,AwsApiCall,1.21765E+11,Management
root,ASIARYWOGL524MZLU2YF,2021-01-07T07:38:10Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,42.111.2.205,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",f17c6a20-84cb-482c-9572-fa48e137f596,c38659fd-69f5-4f55-a30e-a254a5501fee,FALSE,AwsApiCall,1.21765E+11,Management
root,ASIARYWOGL524MZLU2YF,2021-01-07T07:37:44Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,42.111.2.205,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",c115db4d-cb51-4a31-b7a4-c7a2a57d356f,89e26435-ee81-4e31-973e-cfd9e2cb3c76,FALSE,AwsApiCall,1.21765E+11,Management
root,ASIARYWOGL524MZLU2YF,2021-01-07T07:37:44Z,iam.amazonaws.com,CreateGroup,us-east-1,42.111.2.205,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPARYWOGL5232T6HAJOP""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::121765257077:group/CloudTrailAdmins""}]",6e4464fd-20ac-45a8-9fb4-20b957727fce,94550969-042e-41f9-80b6-44b2f1dea8ab,FALSE,AwsApiCall,1.21765E+11,Management
root,ASIARYWOGL524MZLU2YF,2021-01-07T07:37:44Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,42.111.2.205,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",c1e6ad03-bb77-4958-8509-76ee55a01896,f8a9256a-6588-40bb-98b7-2eaadfb41981,FALSE,AwsApiCall,1.21765E+11,Management
