Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Application Load Balancer,0,616.85,7402.2,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon EC2,0,961.67,11540.04,USD,"Operating system (Linux), Quantity (12), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (50 GB), Instance type (t3.xlarge)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,401.49,4817.88,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,964.21,11570.52,USD,S3 Standard storage (4 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (4 TB per month), DT Outbound: Amazon CloudFront (10 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2523.786,30285.43,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No UpFront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (4 TB)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,1.04,12.48,USD,"Number of EC2 instances (2), Number of EIPs per instance (1), Number of EIP remaps (10)"
My Estimate,US East (N. Virginia),,DynamoDB provisioned capacity,1710,280.25,5073,USD,"Average item size (all attributes) (10 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (100 GB)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,507,6084,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2), Basic Checks Within AWS (100)"
,,,,,,,,
,,,,,Annual cost,76785.55,USD,
,,,,,Monthly cost (avg),6398.795833,USD,
,,,,,,,,
"Rationale:  Reduced RDS costs by moving to smaller instance from db.m5.4xlarge to db.m5.xlarge. Similarly, reduced EC2 costs by moving to t3.xlarge from t3.2xlarge.  In case of VPC, reduced cost by having only 1 NAT Gateway instead of 2 NAT Gateways. ",,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
