Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Application Load Balancer,0,733.65,8803.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon EC2,0,1923.34,23080.08,USD,"Operating system (Linux), Quantity (12), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (t3.2xlarge)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,526.5,6318.00,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,987.76,11853.12,USD,S3 Standard storage (5 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (5 TB per month), DT Outbound: Amazon CloudFront (10 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,4442.664,53311.97,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No UpFront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (4 TB)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,1.04,12.48,USD,"Number of EC2 instances (2), Number of EIPs per instance (1), Number of EIP remaps (10)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,711,8532.00,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2), Basic Checks Within AWS (500)"
My Estimate,US East (N. Virginia),,DynamoDB on-demand capacity,0,393.5,4722.00,USD,"Average item size (all attributes) (10 KB), Data storage size (1 TB)"
My Estimate,US East (N. Virginia),,DynamoDB provisioned capacity,180,151.14,1993.68,USD,"Average item size (all attributes) (1 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (500 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
