Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Elastic Load Balancing,0,733.65,8803.8,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon EC2,0,1009.67,12116.04,USD,"Operating system (Linux), Quantity (12), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (t3.xlarge)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,493.65,5923.8,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,987.76,11853.12,USD,S3 Standard storage (5 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (5 TB per month) 
, DT Outbound: Amazon Cloud Front (10 TB per month) 
"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2994.826,35937.91,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5 TB), Instance type (db.m5.xlarge)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,1.04,12.48,USD,"Number of EC2 instances (2), Number of EIPs per instance (1), Number of EIP remaps (10)"
,,,,,,,,
,,,,Total=,6220.596,,,
,,,,,,,,
"Changes made:  Reduced RDS costs by moving to smaller instance from db.m5.4xlarge to db.m5.xlarge. Similarly, reduced EC2 costs by moving to t3.xlarge from t3.2xlarge.  In case of VPC, reduced cost by having only 1 NAT Gateway instead of 2 NAT Gateways. ",,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
